Subject,TimeStamp,Frame,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.0141588,1,0,0,345.3892,352.5318,354.902,10.39798,280.3776,255.3737,286.2886,271.8841,257.7765,288.4388,271.5959,260.2489,281.0071,354.1525,292.9751,254.1272,281.1188,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.0324792,2,0,0,345.3289,352.5531,354.9452,10.33463,280.2956,255.2781,286.2768,271.9047,257.6844,288.4384,271.6237,260.2078,280.9764,354.1525,293.1053,254.1055,281.0642,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.0427563,3,0,0,345.2661,352.5804,354.9857,10.27452,280.2106,255.1804,286.2649,271.9273,257.5919,288.4381,271.6523,260.1653,280.9467,354.1525,293.2451,254.0805,281.0063,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.0588769,4,0,0,345.5016,352.4794,354.8777,10.19314,280.0023,255.2105,286.3506,271.9518,257.7152,288.4378,271.7386,260.1348,280.9313,354.1525,293.3326,254.0303,280.9693,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.072873,5,0,0,345.7371,352.3802,354.7668,10.11296,279.791,255.2406,286.4369,271.9773,257.8382,288.4375,271.8259,260.1038,280.9165,354.1525,293.4238,253.9784,280.9309,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.08524951,6,0,0,345.8895,352.3143,354.7899,10.14763,279.776,255.3484,286.5448,271.9564,258.0105,288.4372,271.7763,260.2007,280.9087,354.1525,293.3704,253.9128,280.9047,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.1004162,7,0,0,346.1816,352.19,354.8515,10.23473,279.7683,255.5738,286.7655,271.909,258.3619,288.4366,271.6605,260.4108,280.8948,354.1525,293.251,253.778,280.8524,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.1141615,8,0,0,346.1784,352.2147,354.7916,10.30349,279.9736,255.6496,286.6755,271.8948,258.4559,288.4363,271.6561,260.402,280.8924,354.1525,293.3436,253.8459,280.8355,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.1295955,9,0,0,346.1773,352.2385,354.7352,10.37389,280.1749,255.7267,286.5894,271.88,258.5511,288.4361,271.6489,260.3966,280.8902,354.1525,293.4319,253.9103,280.8187,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.1447357,10,0,0,346.1776,352.2618,354.6804,10.44658,280.3777,255.8059,286.5048,271.8646,258.6487,288.4358,271.6397,260.3936,280.8881,354.1525,293.5186,253.9731,280.8017,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.1615043,11,0,0,346.3329,352.0673,354.573,10.39079,280.3894,255.925,286.4587,272.0528,258.5075,288.4355,271.8537,260.2473,280.888,354.1525,293.436,254.0608,280.7942,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.1751179,12,0,0,346.4789,351.8845,354.4696,10.34288,280.4119,256.0427,286.4113,272.2311,258.3816,288.4353,272.0554,260.1093,280.8878,354.1525,293.3625,254.1461,280.7862,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan - 1,0.1897415,13,0,0,346.6021,351.8828,354.4426,10.2529,280.3972,256.3206,286.3798,272.1787,258.4623,288.435,271.91,260.3762,280.8882,354.1525,293.116,254.3901,280.8995,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
